3.60000000000000000000e+02,1.29900000000000013286e-04,3.91699999999999993604e-06,6.06100000000000041500e-04
3.61000000000000000000e+02,1.45847000000000001380e-04,4.39358100000000027790e-06,6.80879199999999970908e-04
3.62000000000000000000e+02,1.63802100000000008416e-04,4.92960400000000031255e-06,7.65145600000000048954e-04
3.63000000000000000000e+02,1.84003699999999987928e-04,5.53213600000000008599e-06,8.60012399999999978956e-04
3.64000000000000000000e+02,2.06690200000000001875e-04,6.20824499999999988360e-06,9.66592800000000006329e-04
3.65000000000000000000e+02,2.32100000000000003791e-04,6.96500000000000023010e-06,1.08599999999999994281e-03
3.66000000000000000000e+02,2.60728000000000001424e-04,7.81321900000000031617e-06,1.22058600000000006675e-03
3.67000000000000000000e+02,2.93075000000000008681e-04,8.76733600000000004462e-06,1.37272900000000004986e-03
3.68000000000000000000e+02,3.29388000000000011509e-04,9.83984400000000058485e-06,1.54357900000000000142e-03
3.69000000000000000000e+02,3.69913999999999995854e-04,1.10432299999999999760e-05,1.73428600000000003069e-03
3.70000000000000000000e+02,4.14900000000000001871e-04,1.23899999999999999581e-05,1.94600000000000003010e-03
3.71000000000000000000e+02,4.64158700000000018666e-04,1.38864100000000004252e-05,2.17777700000000009814e-03
3.72000000000000000000e+02,5.18986000000000034967e-04,1.55572799999999995574e-05,2.43580900000000015113e-03
3.73000000000000000000e+02,5.81854000000000030034e-04,1.74429599999999994332e-05,2.73195300000000007232e-03
3.74000000000000000000e+02,6.55234700000000003239e-04,1.95837500000000003274e-05,3.07806400000000014716e-03
3.75000000000000000000e+02,7.41600000000000028275e-04,2.20199999999999992365e-05,3.48599999999999994940e-03
3.76000000000000000000e+02,8.45029599999999950222e-04,2.48396499999999985744e-05,3.97522699999999958032e-03
3.77000000000000000000e+02,9.64526800000000002731e-04,2.80412599999999992493e-05,4.54087999999999974293e-03
3.78000000000000000000e+02,1.09494900000000000909e-03,3.15310400000000029606e-05,5.15832000000000009260e-03
3.79000000000000000000e+02,1.23115399999999992897e-03,3.52152100000000019427e-05,5.80290700000000037734e-03
3.80000000000000000000e+02,1.36800000000000007531e-03,3.89999999999999992940e-05,6.45000100000000034517e-03
3.81000000000000000000e+02,1.50204999999999999974e-03,4.28264000000000004701e-05,7.08321599999999981789e-03
3.82000000000000000000e+02,1.64232799999999997363e-03,4.69145999999999997157e-05,7.74548800000000002564e-03
3.83000000000000000000e+02,1.80238199999999994250e-03,5.15895999999999981542e-05,8.50115199999999966718e-03
3.84000000000000000000e+02,1.99575699999999991302e-03,5.71763999999999969091e-05,9.41454400000000038440e-03
3.85000000000000000000e+02,2.23600000000000014022e-03,6.39999999999999971039e-05,1.05499900000000004091e-02
3.86000000000000000000e+02,2.53538499999999980897e-03,7.23442099999999983133e-05,1.19658000000000003943e-02
3.87000000000000000000e+02,2.89260300000000010121e-03,8.22122399999999947011e-05,1.36558700000000005081e-02
3.88000000000000000000e+02,3.30082899999999991592e-03,9.35081599999999975043e-05,1.55880500000000008637e-02
3.89000000000000000000e+02,3.75323600000000007215e-03,1.06136099999999995052e-04,1.77301500000000000767e-02
3.90000000000000000000e+02,4.24300000000000024358e-03,1.20000000000000003040e-04,2.00500100000000000544e-02
3.91000000000000000000e+02,4.76238899999999968499e-03,1.34983999999999993748e-04,2.25113600000000010914e-02
3.92000000000000000000e+02,5.33004800000000042437e-03,1.51492000000000005778e-04,2.52028800000000004211e-02
3.93000000000000000000e+02,5.97871199999999974189e-03,1.70208000000000007510e-04,2.82797200000000012454e-02
3.94000000000000000000e+02,6.74111699999999959554e-03,1.91816000000000007981e-04,3.18970400000000015028e-02
3.95000000000000000000e+02,7.64999999999999968220e-03,2.16999999999999989122e-04,3.62099999999999991318e-02
3.96000000000000000000e+02,8.75137299999999979105e-03,2.46906699999999991978e-04,4.14377100000000025970e-02
3.97000000000000000000e+02,1.00288800000000004331e-02,2.81239999999999983928e-04,4.75037199999999992794e-02
3.98000000000000000000e+02,1.14216999999999999083e-02,3.18519999999999979361e-04,5.41198800000000021515e-02
3.99000000000000000000e+02,1.28690100000000001712e-02,3.57266699999999985671e-04,6.09980300000000016936e-02
4.00000000000000000000e+02,1.43099999999999998035e-02,3.95999999999999976151e-04,6.78500100000000022638e-02
4.01000000000000000000e+02,1.57044299999999983908e-02,4.33714699999999996408e-04,7.44863199999999947565e-02
4.02000000000000000000e+02,1.71474399999999999045e-02,4.73024000000000003057e-04,8.13615599999999994374e-02
4.03000000000000000000e+02,1.87812200000000012468e-02,5.17876000000000013407e-04,8.91536400000000062160e-02
4.04000000000000000000e+02,2.07480100000000007576e-02,5.72218700000000010664e-04,9.85404799999999997384e-02
4.05000000000000000000e+02,2.31899999999999988087e-02,6.40000000000000052354e-04,1.10200000000000006284e-01
4.06000000000000000000e+02,2.62073599999999989896e-02,7.24559999999999961029e-04,1.24613299999999996293e-01
4.07000000000000000000e+02,2.97824800000000000644e-02,8.25499999999999953433e-04,1.41701700000000013757e-01
4.08000000000000000000e+02,3.38809200000000018682e-02,9.41160000000000021743e-04,1.61303499999999988557e-01
4.09000000000000000000e+02,3.84682400000000007667e-02,1.06988000000000004971e-03,1.83256799999999997475e-01
4.10000000000000000000e+02,4.35100000000000000644e-02,1.20999999999999992110e-03,2.07400000000000001021e-01
4.11000000000000000000e+02,4.89956000000000002625e-02,1.36209099999999995283e-03,2.33692100000000013704e-01
4.12000000000000000000e+02,5.50225999999999978995e-02,1.53075200000000002411e-03,2.62611399999999994836e-01
4.13000000000000000000e+02,6.17187999999999972744e-02,1.72036799999999989730e-03,2.94774599999999997735e-01
4.14000000000000000000e+02,6.92119999999999957474e-02,1.93532300000000007795e-03,3.30798499999999995325e-01
4.15000000000000000000e+02,7.76300000000000045564e-02,2.18000000000000008007e-03,3.71300000000000018918e-01
4.16000000000000000000e+02,8.69581100000000051242e-02,2.45480000000000003757e-03,4.16209099999999998509e-01
4.17000000000000000000e+02,9.71767199999999942150e-02,2.76399999999999996386e-03,4.65464199999999994617e-01
4.18000000000000000000e+02,1.08406299999999997108e-01,3.11779999999999999846e-03,5.19694800000000012297e-01
4.19000000000000000000e+02,1.20767200000000005100e-01,3.52639999999999984720e-03,5.79530300000000053728e-01
4.20000000000000000000e+02,1.34379999999999999449e-01,4.00000000000000008327e-03,6.45599999999999951683e-01
4.21000000000000000000e+02,1.49358199999999996521e-01,4.54624000000000000332e-03,7.18483800000000005781e-01
4.22000000000000000000e+02,1.65395700000000006602e-01,5.15932000000000022533e-03,7.96713299999999957635e-01
4.23000000000000000000e+02,1.81983100000000008745e-01,5.82928000000000005182e-03,8.77845899999999956798e-01
4.24000000000000000000e+02,1.98611000000000009758e-01,6.54615999999999965270e-03,9.59439000000000041801e-01
4.25000000000000000000e+02,2.14769999999999988693e-01,7.30000000000000006523e-03,1.03905010000000008752e+00
4.26000000000000000000e+02,2.30186799999999996968e-01,8.08650699999999972301e-03,1.11536729999999995044e+00
4.27000000000000000000e+02,2.44879700000000005700e-01,8.90872000000000018038e-03,1.18849709999999997301e+00
4.28000000000000000000e+02,2.58777299999999987890e-01,9.76768000000000080618e-03,1.25812330000000005548e+00
4.29000000000000000000e+02,2.71807899999999991181e-01,1.06644300000000007839e-02,1.32392960000000003973e+00
4.30000000000000000000e+02,2.83899999999999985700e-01,1.15999999999999992006e-02,1.38559999999999994280e+00
4.31000000000000000000e+02,2.94943799999999978212e-01,1.25731699999999998324e-02,1.44263520000000000643e+00
4.32000000000000000000e+02,3.04896500000000014730e-01,1.35827199999999995161e-02,1.49480349999999995170e+00
4.33000000000000000000e+02,3.13787299999999991229e-01,1.46296800000000008085e-02,1.54219029999999990288e+00
4.34000000000000000000e+02,3.21645400000000025731e-01,1.57150900000000010026e-02,1.58488070000000003112e+00
4.35000000000000000000e+02,3.28500000000000014211e-01,1.68400000000000008016e-02,1.62295999999999995822e+00
4.36000000000000000000e+02,3.34351300000000017931e-01,1.80073600000000000332e-02,1.65640480000000001048e+00
4.37000000000000000000e+02,3.39210100000000014386e-01,1.92144799999999990603e-02,1.68529590000000006889e+00
4.38000000000000000000e+02,3.43121300000000017949e-01,2.04539200000000004342e-02,1.70987449999999996386e+00
4.39000000000000000000e+02,3.46129599999999981730e-01,2.17182399999999997675e-02,1.73038209999999992306e+00
4.40000000000000000000e+02,3.48279999999999978488e-01,2.29999999999999996114e-02,1.74706000000000005734e+00
4.41000000000000000000e+02,3.49599900000000018974e-01,2.42946100000000012042e-02,1.76004460000000007014e+00
4.42000000000000000000e+02,3.50147399999999997533e-01,2.56102399999999993940e-02,1.76962329999999989916e+00
4.43000000000000000000e+02,3.50013000000000018552e-01,2.69585700000000011434e-02,1.77626369999999988991e+00
4.44000000000000000000e+02,3.49287000000000014133e-01,2.83512500000000014500e-02,1.78043339999999994383e+00
4.45000000000000000000e+02,3.48059999999999980513e-01,2.98000000000000000999e-02,1.78259999999999996234e+00
4.46000000000000000000e+02,3.46373299999999995080e-01,3.13108299999999978303e-02,1.78296820000000000306e+00
4.47000000000000000000e+02,3.44262400000000023947e-01,3.28836799999999984667e-02,1.78169979999999994469e+00
4.48000000000000000000e+02,3.41808800000000023722e-01,3.45211200000000023591e-02,1.77919819999999995197e+00
4.49000000000000000000e+02,3.39094100000000009398e-01,3.62257100000000012430e-02,1.77586709999999992071e+00
4.50000000000000000000e+02,3.36199999999999998845e-01,3.79999999999999990563e-02,1.77211000000000007404e+00
4.51000000000000000000e+02,3.33197699999999985554e-01,3.98466700000000006998e-02,1.76825889999999996682e+00
4.52000000000000000000e+02,3.30041099999999976156e-01,4.17679999999999995719e-02,1.76403899999999991266e+00
4.53000000000000000000e+02,3.26635699999999973286e-01,4.37659999999999993481e-02,1.75894379999999994624e+00
4.54000000000000000000e+02,3.22886799999999973831e-01,4.58426700000000020285e-02,1.75246630000000003236e+00
4.55000000000000000000e+02,3.18699999999999983302e-01,4.80000000000000009992e-02,1.74409999999999998366e+00
4.56000000000000000000e+02,3.14025100000000001454e-01,5.02436799999999988975e-02,1.73355949999999991995e+00
4.57000000000000000000e+02,3.08883999999999991903e-01,5.25730400000000014371e-02,1.72085810000000005715e+00
4.58000000000000000000e+02,3.03290400000000015535e-01,5.49805599999999977667e-02,1.70593689999999997831e+00
4.59000000000000000000e+02,2.97257900000000019336e-01,5.74587199999999978517e-02,1.68873720000000004937e+00
4.60000000000000000000e+02,2.90800000000000002931e-01,5.99999999999999977796e-02,1.66920000000000001705e+00
4.61000000000000000000e+02,2.83970100000000003071e-01,6.26019700000000067774e-02,1.64752870000000006812e+00
4.62000000000000000000e+02,2.76721400000000006258e-01,6.52775200000000055400e-02,1.62341270000000004181e+00
4.63000000000000000000e+02,2.68917799999999984628e-01,6.80420800000000047802e-02,1.59602230000000000487e+00
4.64000000000000000000e+02,2.60422700000000006959e-01,7.09110899999999960697e-02,1.56452799999999991876e+00
4.65000000000000000000e+02,2.51099999999999989875e-01,7.38999999999999934719e-02,1.52810000000000001386e+00
4.66000000000000000000e+02,2.40847499999999992149e-01,7.70160000000000011244e-02,1.48611139999999997130e+00
4.67000000000000000000e+02,2.29851200000000005508e-01,8.02664000000000016355e-02,1.43952149999999989838e+00
4.68000000000000000000e+02,2.18407199999999995788e-01,8.36667999999999995042e-02,1.38987989999999994595e+00
4.69000000000000000000e+02,2.06811500000000009214e-01,8.72327999999999992298e-02,1.33873620000000004282e+00
4.70000000000000000000e+02,1.95360000000000005871e-01,9.09800000000000053113e-02,1.28763999999999989576e+00
4.71000000000000000000e+02,1.84213600000000005119e-01,9.49175500000000033074e-02,1.23742229999999997503e+00
4.72000000000000000000e+02,1.73327299999999989710e-01,9.90458399999999961061e-02,1.18782429999999994408e+00
4.73000000000000000000e+02,1.62688100000000002154e-01,1.03367399999999998172e-01,1.13876109999999997058e+00
4.74000000000000000000e+02,1.52283300000000010321e-01,1.07884599999999997166e-01,1.09014799999999989488e+00
4.75000000000000000000e+02,1.42100000000000004086e-01,1.12600000000000005640e-01,1.04190000000000004832e+00
4.76000000000000000000e+02,1.32178600000000007197e-01,1.17531999999999997586e-01,9.94197600000000014653e-01
