0.00000000,0.47900552,1.72923476,1.71161963,1.70579804,1.70290216,1.70130506,1.70038165,1.69985212,1.69958397,
1.69956733,1.69964821,1.69982136,1.70011278,1.70043652,1.70084019,1.70127177,1.70174915,1.70221053,1.70265387,
1.70306462,1.70343931,1.70379192,1.70411199,1.70442025,1.70469663,1.70496994,1.70521098,1.70545203,1.70566816,
1.70588047,1.70607798,1.70626659,1.70644790,1.70661703,1.70678401,1.70693693,1.70708986,1.70723040,1.70736977,
1.70750080,1.70762874,1.70775098,1.70786935,1.70798345,1.70809369,1.70820029,1.70830366,1.70840334,1.70850077,
1.70859418,1.70868621,1.70877435,1.70886066,1.70894509,1.70902649,1.70910612,1.70918386,1.70925969,1.70933367,
1.70940590,1.70947660,1.70954553,1.70961285,1.33080551,1.53314480,1.61408632,1.64744632,1.65927373,1.66534688,
1.66917472,1.67187829,1.67397441,1.67566536,1.67731156,1.67868644,1.67991272,1.68110975,1.68219338,1.68313675,
1.68398001,1.68482474,1.68556245,1.68620917,1.68677965,1.68728662,1.68788127,1.68842958,1.68892960,1.68938058,
1.68978762,1.69016302,1.69050224,1.69081804,1.69110596,1.69137334,1.69167331,1.69201288,1.69234202,1.69265757,
1.69296234,1.69325327,1.69353263,1.69379890,1.69405319,1.69429521,1.69452539,1.69474390,1.69495111,1.69514727,
1.69533272,1.69550773,1.69567265,1.69582791,1.69597571,1.69611571,1.69625078,1.69637981,1.69650323,1.69662251,
1.69673689,1.69684676,1.69695254,1.69705454,1.69715284,1.69724776,1.69733928,1.69742727,1.33889445,1.45713821,
1.53394199,1.57990654,1.60854720,1.62610293,1.63742998,1.64518700,1.65079151,1.65510852,1.65854108,1.66131923,
1.66362788,1.66558476,1.66725751,1.66874488,1.67003881,1.67121346,1.67223961,1.67321887,1.67408714,1.67486213,
1.67563520,1.67633422,1.67696504,1.67754213,1.67812999,1.67869038,1.67920107,1.67967707,1.68011437,1.68052205,
1.68094214,1.68137363,1.68177927,1.68215676,1.68251525,1.68284886,1.68316724,1.68346507,1.68374883,1.68401631,
1.68427096,1.68459292,1.68489978,1.68519236,1.68547178,1.68573868,1.68599455,1.68623893,1.68647442,1.68669922,
1.68691647,1.68712488,1.68732505,1.68751877,1.68770531,1.68788520,1.68805895,1.68822692,1.68838944,1.68854661,
1.68869892,1.68884599,1.33340807,1.42229829,1.42966855,1.42864506,1.55200412,1.59026218,1.60751426,1.62010614,
1.62940092,1.63641301,1.64182750,1.64612469,1.64961508,1.65250726,1.65495000,1.65704538,1.65886555,1.66046695,
1.66189733,1.66316954,1.66433538,1.66537775,1.66635866,1.66724636,1.66806855,1.66885146,1.66956370,1.67022360,
1.67087844,1.67148929,1.67205243,1.67257836,1.67309557,1.67360510,1.67408481,1.67453218,1.67495768,1.67535449,
1.67574510,1.67615543,1.67654697,1.67691722,1.67727039,1.67760626,1.67792687,1.67823297,1.67852574,1.67880573,
1.67911656,1.67942763,1.67972778,1.68001486,1.68029265,1.68055963,1.68081650,1.68106550,1.68130564,1.68153762,
1.68176207,1.68197943,1.68219001,1.68239417,1.68259231,1.68278408,1.32736283,1.40220327,1.36538422,1.25333091,
1.27690869,1.38545599,1.55759677,1.59485179,1.60725315,1.61697810,1.62463406,1.63073786,1.63567483,1.63972217,
1.64310674,1.64596847,1.64842759,1.65056469,1.65244206,1.65411112,1.65560600,1.65694997,1.65818114,1.65929844,
