0.00000000,0.29767945,1.87481301,1.83420182,1.84338904,1.84950868,1.85287821,1.85473754,1.85568907,1.85602815,
1.85590947,1.85577344,1.85563483,1.85550548,1.85537844,1.85525673,1.85513641,1.85501836,1.85490087,1.85478400,
1.85466666,1.85454880,1.85442988,1.85430937,1.85418773,1.85406305,1.85393791,1.85380791,1.85367791,1.85354275,
1.85340679,1.85326687,1.85312458,1.85298009,1.85283196,1.85268318,1.85253020,1.85237722,1.85222167,1.85206587,
1.85191014,1.85175444,1.85160097,1.85144904,1.85130155,1.85115809,1.85102191,1.85089218,1.85077447,1.85066408,
1.85057413,1.85049213,1.85043763,1.85040122,1.85038357,1.85040416,1.85045345,1.85053618,1.85065865,1.85082656,
1.85104414,1.85131797,1.85165707,1.85206938,1.32622261,1.02131668,0.77946244,0.73005432,0.73223590,0.75415346,
0.78586417,0.82038082,0.85988988,0.89772391,0.94514277,0.98947533,1.03236475,1.07918106,1.13131812,1.17556792,
1.22156543,1.29017509,1.35048654,1.40514401,1.45523034,1.50249647,1.54401673,1.58572778,1.62560693,1.66480970,
1.70104395,1.73605501,1.76762810,1.79701904,1.82295555,1.84572955,1.85568902,1.85553884,1.85538477,1.85522853,
1.85507129,1.85491157,1.85475602,1.85459833,1.85444852,1.85429944,1.85416103,1.85402821,1.85390897,1.85380089,
1.85371142,1.85363700,1.85359100,1.85355894,1.85357276,1.85359846,1.85368252,1.85379888,1.85394773,1.85417154,
1.85444626,1.85478040,1.85518530,1.85567008,1.85623970,1.85690321,1.85767621,1.85857463,1.34680791,1.06769652,
0.73285015,0.61639649,0.56439376,0.54011915,0.53083323,0.53025295,0.53511940,0.54284037,0.55574038,0.56913969,
0.58364193,0.60047087,0.61585145,0.63616343,0.65412385,0.67551013,0.69334424,0.71860253,0.74067763,0.76050327,
0.79001553,0.81744319,0.84247947,0.86669225,0.90149395,0.93914447,0.97467484,1.01070836,1.04568330,1.08137438,
1.13115344,1.19613339,1.26462005,1.33503388,1.41329106,1.49377904,1.58777827,1.68659027,1.75800513,1.81364565,
1.86129777,1.86112487,1.86097889,1.86085457,1.86076686,1.86070788,1.86070329,1.86072355,1.86083011,1.86095575,
1.86119031,1.86148287,1.86183171,1.86231862,1.86289228,1.86356641,1.86436236,1.86530090,1.86639617,1.86766557,
1.86912369,1.87076497,1.34105746,1.13214048,0.75296962,0.61062992,0.53818443,0.49663690,0.47214085,0.45764403,
0.44957349,0.44561327,0.44639742,0.44880507,0.45277981,0.45923819,0.46594871,0.47442344,0.48309126,0.49281468,
0.50385956,0.51433746,0.52710236,0.53832876,0.55299034,0.56638177,0.58041360,0.59719760,0.61229102,0.62710151,
0.64737349,0.66731256,0.68615249,0.70473891,0.72748025,0.75439680,0.78151195,0.80821096,0.83605095,0.86354412,
0.89603908,0.94166280,0.99060602,1.04183352,1.09763554,1.15765839,1.22421745,1.29773629,1.38151908,1.47591978,
1.57584189,1.66828425,1.76911115,1.85160076,1.86765106,1.87471424,1.87525634,1.87605202,1.87701330,1.87816332,
1.87953271,1.88114528,1.88302383,1.88522514,1.88779634,1.89064801,1.33488376,1.19262058,0.78216009,0.62387516,
0.54003266,0.48896417,0.45612324,0.43418038,0.41918760,0.40889961,0.40350011,0.40002841,0.39833965,0.39931454,
0.40057271,0.40388072,0.40763401,0.41236824,0.41750987,0.42393161,0.43071890,0.43746832,0.44582423,0.45364901,
0.46303796,0.47185686,0.48217688,0.49283305,0.50236690,0.51550539,0.52771743,0.53957221,0.55326415,0.56875084,
0.58407778,0.59887353,0.61397132,0.63460696,0.65583362,0.67685919,0.69861667,0.72063210,0.74354993,0.77727319,
0.81284012,0.85045942,0.89084171,0.93416894,0.98191144,1.03339557,1.09248322,1.18075046,1.28863258,1.39215919,
1.48757580,1.58098920,1.66880448,1.75077592,1.82686992,1.88760402,1.90972338,1.91473461,1.92143216,1.92906499,
1.33014476,1.24830500,0.81208979,0.64213038,0.55031714,0.49327279,0.45500194,0.42821450,0.40880009,0.39446453,
0.38516786,0.37806017,0.37292392,0.37034332,0.36852587,0.36834900,0.36901718,0.37068248,0.37296803,0.37599508,
0.37950930,0.38346353,0.38830431,0.39353527,0.39878820,0.40521938,0.41114426,0.41854187,0.42554608,0.43326770,
0.44180175,0.45000910,0.45918653,0.46929477,0.47920208,0.48863225,0.50142168,0.51370014,0.52616993,0.53832946,
0.55336557,0.56995987,0.58685156,0.60398124,0.62155052,0.63960848,0.66507702,0.69164630,0.71978035,0.74931078,
0.78137350,0.81519673,0.85265861,0.90273882,0.96910503,1.04829217,1.14292942,1.25930125,1.40853725,1.58941495,
1.72823748,1.81822519,1.90821807,2.20940638,1.32689460,1.29693059,0.84213524,0.66254036,0.56434340,0.50252827,
0.46034075,0.43005496,0.40747983,0.39026364,0.37821856,0.36855518,0.36100049,0.35602630,0.35190442,0.34963627,
0.34806676,0.34755326,0.34765443,0.34862153,0.35009502,0.35212563,0.35471700,0.35790276,0.36119540,0.36507387,
0.36932337,0.37376691,0.37898210,0.38407577,0.39012450,0.39603097,0.40250630,0.40951916,0.41635292,0.42409670,
0.43257194,0.44060352,0.44920199,0.45946044,0.46973328,0.47985117,0.49000705,0.50333386,0.51677455,0.53037619,
0.54420818,0.55830801,0.57633773,0.59608576,0.61675762,0.63814024,0.66076069,0.68443229,0.70931814,0.74657179,
0.78714461,0.83157526,0.88026688,0.93290674,0.98692220,1.02823746,0.94546805,-1.10144317,1.32454463,1.34157304,
0.87184434,0.68345287,0.57997719,0.51418950,0.46882252,0.43591780,0.41089690,0.39146866,0.37735438,0.36575523,
0.35638110,0.34966556,0.34390699,0.33996996,0.33679729,0.33470546,0.33340065,0.33279675,0.33274243,0.33332628,
0.33434928,0.33599674,0.33789291,0.34036032,0.34275611,0.34612463,0.34936423,0.35316706,0.35721550,0.36153710,
0.36621881,0.37123568,0.37622045,0.38215598,0.38806023,0.39399141,0.40115845,0.40801052,0.41482323,0.42321534,
0.43171420,0.44012225,0.44848531,0.45902237,0.46981802,0.48066643,0.49159050,0.50259055,0.51717882,0.53201452,
0.54709985,0.56237383,0.57790976,0.59317485,0.61380669,0.63500997,0.65470010,0.66964634,0.67167726,0.62856958,
0.36572132,-1.10092318,1.32276740,1.35969860,0.90110091,0.70448857,0.59618875,0.52697073,0.47889744,0.44371986,
0.41706269,0.39583533,0.38007541,0.36694134,0.35610997,0.34803944,0.34093767,0.33575078,0.33135222,0.32810080,
0.32554409,0.32385665,0.32269101,0.32213159,0.32204922,0.32252904,0.32321978,0.32460355,0.32607566,0.32814847,
0.33010929,0.33292155,0.33564914,0.33881452,0.34222335,0.34585536,0.34980122,0.35403692,0.35826275,0.36330609,
0.36834094,0.37340167,0.37941284,0.38522621,0.39094126,0.39808295,0.40511083,0.41204762,0.41922961,0.42791004,
0.43649975,0.44502930,0.45339585,0.46325491,0.47391395,0.48433423,0.49454282,0.50363267,0.51134721,0.52133610,
0.52741661,0.52494679,0.50278178,0.42370044,0.14692629,-1.00690424,1.32139226,1.36447961,0.92900681,0.72503828,
0.61246014,0.54024342,0.48983796,0.45272655,0.42439651,0.40221192,0.38507129,0.37066572,0.35864701,0.34944711,
0.34129174,0.33505350,0.32967185,0.32546131,0.32201347,0.31935291,0.31732352,0.31588012,0.31493703,0.31456288,
0.31443038,0.31489255,0.31542696,0.31655795,0.31785688,0.31965168,0.32143985,0.32372665,0.32618866,0.32880909,
0.33187307,0.33491597,0.33846634,0.34206910,0.34587694,0.35019187,0.35443579,0.35904323,0.36407969,0.36897198,
0.37421885,0.38012051,0.38586847,0.39148085,0.39806513,0.40489539,0.41142282,0.41776756,0.42449829,0.43186043,
0.43875146,0.44408294,0.44757869,0.44906474,0.44761988,0.43580670,0.40181856,0.31175197,0.05494464,-0.85276574,
1.32042701,1.36091591,0.96086145,0.74814036,0.63103321,0.55575592,0.50300713,0.46401878,0.43412528,0.41056054,
0.39162738,0.37612453,0.36308544,0.35293501,0.34386516,0.33677296,0.33057341,0.32555700,0.32133026,0.31794391,
0.31518211,0.31302690,0.31137448,0.31028832,0.30944784,0.30921461,0.30908216,0.30960018,0.31014201,0.31119066,
0.31227318,0.31387186,0.31560445,0.31745690,0.31979606,0.32196210,0.32484757,0.32742717,0.33073493,0.33383018,
0.33738446,0.34106018,0.34462411,0.34896539,0.35315653,0.35720597,0.36214343,0.36691480,0.37145414,0.37648378,
0.38172479,0.38672359,0.39107189,0.39559696,0.40031819,0.40325926,0.40413004,0.40171189,0.39528320,0.37853104,
0.33951107,0.24871761,0.01498917,-0.74423742,1.31962658,1.35794179,0.99083826,0.77028914,0.64884553,0.57079821,
0.51597212,0.47529880,0.44400583,0.41924360,0.39924348,0.38284902,0.36890707,0.35793230,0.34808626,0.34025602,
0.33334046,0.32765820,0.32279019,0.31876149,0.31537119,0.31262446,0.31037653,0.30869180,0.30728568,0.30650765,
0.30581050,0.30575730,0.30571675,0.30619417,0.30678593,0.30777160,0.30892673,0.31017827,0.31192527,0.31361625,
0.31572278,0.31785589,0.32031381,0.32285464,0.32567196,0.32848197,0.33172768,0.33482792,0.33832746,0.34192414,
0.34533786,0.34929577,0.35318538,0.35685401,0.36064221,0.36468440,0.36803248,0.37068267,0.37353685,0.37493411,
0.37416485,0.37000806,0.36040446,0.34125597,0.30073094,0.21290848,-0.00016989,-0.66082931,1.31898259,1.35540959,
1.02059772,0.79226848,0.66653840,0.58585550,0.52907930,0.48686010,0.45424743,0.42839758,0.40743564,0.39017434,
