# Jakob2019 polynomial coefficient LUT
# Resolution: 32x32x32
# Format: c0,c1,c2 (3 polynomial coefficients per RGB grid point)
# Index mapping: index = r*1024 + g*32 + b
# where r,g,b are in [0, 31]
# Polynomial evaluation: U = c0*wl^2 + c1*wl + c2; R = 0.5 + U/(2*sqrt(1+U^2))
# Wavelengths: 360-780nm at 5nm intervals (85 samples)
-0.0000133011,-0.0444883064,-90.9238127924
-0.0013844601,1.2367220192,-278.6216590389
-0.0009907058,0.8847816490,-199.1523269220
-0.0008072376,0.7202613653,-161.8824157053
-0.0006998997,0.6239147552,-140.0206371646
-0.0006255034,0.5570559721,-124.8201518269
-0.0005707837,0.5077218377,-113.5634976559
-0.0005291218,0.4700291393,-104.9285700401
-0.0004917449,0.4361566860,-97.1539862419
-0.0004670509,0.4137238852,-91.9782693094
-0.0004429530,0.3918288757,-86.9247281118
-0.0004223184,0.3728691588,-82.5024855816
-0.0004017935,0.3540023967,-78.1002349959
-0.0003854929,0.3388846502,-74.5349097782
-0.0003699912,0.3244758029,-71.1278382973
-0.0003565683,0.3118806196,-68.1172091074
-0.0003443996,0.3003795307,-65.3457340752
-0.0003310917,0.2877068803,-62.2773399502
-0.0003158956,0.2730921496,-58.7167474600
-0.0003010045,0.2587188731,-55.2018868103
-0.0002877269,0.2456225277,-51.9288791382
-0.0002742333,0.2323074052,-48.6007139410
-0.0002539198,0.2120838166,-43.5308036038
-0.0002333206,0.1915592454,-38.3822151962
-0.0002066413,0.1646323109,-31.5600225278
-0.0001776948,0.1353105049,-24.1088883649
-0.0001418396,0.0986908051,-14.7411801722
-0.0000987465,0.0543054512,-3.3050166494
-0.0000448838,-0.0014466814,11.1170062347
0.0000288442,-0.0781353940,31.0342393721
0.0001202371,-0.1743578887,56.2984392900
0.0002463127,-0.3087148311,91.9566359492
-0.0011346210,1.2318342770,-336.6642903746
-0.0002001249,0.1986387180,-51.6465470928
-0.0001219588,0.1109946370,-27.0843158991
-0.0000991632,0.0844555239,-19.3353201614
-0.0000919499,0.0751683308,-16.3583760899
-0.0000901291,0.0720478373,-15.1313859194
-0.0000909303,0.0718664754,-14.7416937226
-0.0000931442,0.0732395280,-14.7923902857
-0.0000940795,0.0736689089,-14.6867363238
-0.0000969356,0.0758339352,-14.9942242809
-0.0000968820,0.0754576667,-14.7490228106
-0.0000985704,0.0765823921,-14.8380915486
-0.0000992099,0.0768044164,-14.7337252300
-0.0000987327,0.0759044111,-14.3566307809
-0.0000968679,0.0737336245,-13.6902584260
-0.0000937134,0.0702752175,-12.7068749976
-0.0000920750,0.0681904731,-12.0345909981
-0.0000910025,0.0665678223,-11.4541586470
-0.0000877554,0.0627760592,-10.3364867807
-0.0000832060,0.0577415914,-8.9226350162
-0.0000769013,0.0508361761,-7.0160633863
-0.0000694830,0.0428789004,-4.8613423032
-0.0000585943,0.0312595831,-1.7473358765
-0.0000469293,0.0188919509,1.5470965269
-0.0000308991,0.0018753858,6.0716993566
-0.0000128018,-0.0172910676,11.1541942948
0.0000101212,-0.0416082472,17.6043190432
0.0000382543,-0.0715599553,25.5689751443
0.0000721787,-0.1078093988,35.2351789852
0.0001151196,-0.1539455747,47.5931564657
0.0001696528,-0.2129574744,63.4966110039
0.0002414608,-0.2917224622,84.9752880680
-0.0008121635,0.8816293024,-240.7808923912
-0.0002382423,0.2472606883,-65.8277002837
-0.0001457700,0.1446849930,-37.4460663157
-0.0001074598,0.1018852725,-25.5007689968
-0.0000877937,0.0796064645,-19.1903569294
-0.0000761903,0.0662878485,-15.3525639070
-0.0000693016,0.0581142542,-12.9245367857
-0.0000646127,0.0524016029,-11.1881447630
-0.0000613046,0.0482969457,-9.9046554186
-0.0000591724,0.0453998199,-8.9480063327
-0.0000571980,0.0428213322,-8.1030850485
-0.0000558223,0.0407931732,-7.3966900172
-0.0000537781,0.0382463252,-6.5923188342
-0.0000521584,0.0360520519,-5.8657409967
-0.0000502204,0.0335956599,-5.0866400533
-0.0000473071,0.0301892807,-4.0787567602
-0.0000446052,0.0269521439,-3.1043416567
-0.0000416511,0.0234273444,-2.0501744393
-0.0000374767,0.0186660665,-0.6849405926
-0.0000324574,0.0130983581,0.8732555579
-0.0000261684,0.0061599665,2.7966504843
-0.0000199755,-0.0006927227,4.7016556391
-0.0000122650,-0.0093146592,7.1086051036
-0.0000034259,-0.0190279842,9.7796837954
0.0000088246,-0.0323980893,13.4255929383
0.0000225692,-0.0473309604,17.4797643799
0.0000397159,-0.0659462781,22.5251168568
0.0000607631,-0.0888103779,28.7216734365
0.0000861146,-0.1163923494,36.2034561909
0.0001184181,-0.1516462723,45.7883530766
0.0001596159,-0.1968985395,58.1589575434
0.0002135373,-0.2567582460,74.6734633591
-0.0006741912,0.7317813715,-199.7181366606
-0.0002566781,0.2702876179,-72.4370651752
-0.0001648387,0.1686197062,-44.3668742670
-0.0001228779,0.1219642983,-31.4261102257
-0.0000989784,0.0952389277,-23.9639623567
-0.0000833947,0.0777366561,-19.0451278034
-0.0000729522,0.0658699528,-15.6713204390
-0.0000656222,0.0573908129,-13.2239384360
-0.0000597012,0.0505636666,-11.2437002104
-0.0000553652,0.0453901062,-9.7089471469
-0.0000513590,0.0407091064,-8.3302637649
-0.0000484256,0.0370819378,-7.2213318747
-0.0000453783,0.0334503018,-6.1332092237
-0.0000424298,0.0299080829,-5.0705004278
-0.0000396228,0.0265351643,-4.0564823251
-0.0000364660,0.0228156163,-2.9584297560
-0.0000331261,0.0189090472,-1.8133446390
-0.0000295036,0.0147076503,-0.5920068380
-0.0000251395,0.0097491547,0.8209911638
-0.0000205331,0.0045409512,2.2990066594
-0.0000151325,-0.0015944396,4.0397628100
