0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,3.10060000000000002274e-01,3.16159999999999996589e-01,0.00000000000000000000e+00,
0.00000000000000000000e+00,2.00000000000000011102e-01,2.00000000000000000000e+00,4.04000000000000025757e-01,1.64000000000000006883e-01,2.36999999999999988454e-01,
0.00000000000000000000e+00,2.00000000000000011102e-01,4.00000000000000000000e+00,4.23999999999999988010e-01,1.25000000000000000000e-01,2.36999999999999988454e-01,
0.00000000000000000000e+00,2.00000000000000011102e-01,6.00000000000000000000e+00,4.34999999999999997780e-01,1.02999999999999994338e-01,2.36999999999999988454e-01,
0.00000000000000000000e+00,4.00000000000000022204e-01,2.00000000000000000000e+00,3.81000000000000005329e-01,2.20000000000000001110e-01,4.67000000000000026201e-01,
0.00000000000000000000e+00,4.00000000000000022204e-01,4.00000000000000000000e+00,4.06000000000000027534e-01,1.80999999999999994227e-01,4.67000000000000026201e-01,
0.00000000000000000000e+00,4.00000000000000022204e-01,6.00000000000000000000e+00,4.22999999999999987121e-01,1.52999999999999997113e-01,4.67000000000000026201e-01,
0.00000000000000000000e+00,4.00000000000000022204e-01,8.00000000000000000000e+00,4.36999999999999999556e-01,1.28000000000000002665e-01,4.67000000000000026201e-01,
0.00000000000000000000e+00,4.00000000000000022204e-01,1.00000000000000000000e+01,4.54000000000000014655e-01,9.80000000000000037748e-02,4.67000000000000026201e-01,
0.00000000000000000000e+00,5.99999999999999977796e-01,2.00000000000000000000e+00,3.71999999999999997335e-01,2.46999999999999997335e-01,6.98999999999999954703e-01,
0.00000000000000000000e+00,5.99999999999999977796e-01,4.00000000000000000000e+00,3.99000000000000021316e-01,2.10999999999999993117e-01,6.98999999999999954703e-01,
0.00000000000000000000e+00,5.99999999999999977796e-01,6.00000000000000000000e+00,4.18999999999999983569e-01,1.81999999999999995115e-01,6.98999999999999954703e-01,
0.00000000000000000000e+00,5.99999999999999977796e-01,8.00000000000000000000e+00,4.33999999999999996891e-01,1.58000000000000001554e-01,6.98999999999999954703e-01,
0.00000000000000000000e+00,5.99999999999999977796e-01,1.00000000000000000000e+01,4.47000000000000008438e-01,1.35000000000000008882e-01,6.98999999999999954703e-01,
0.00000000000000000000e+00,5.99999999999999977796e-01,1.20000000000000000000e+01,4.59000000000000019096e-01,1.14000000000000004108e-01,6.98999999999999954703e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,2.00000000000000000000e+00,3.64999999999999991118e-01,2.61000000000000009770e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,4.00000000000000000000e+00,3.93000000000000015987e-01,2.30000000000000009992e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,6.00000000000000000000e+00,4.14999999999999980016e-01,2.03000000000000013767e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,8.00000000000000000000e+00,4.34999999999999997780e-01,1.76999999999999990674e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,1.00000000000000000000e+01,4.47000000000000008438e-01,1.60000000000000003331e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,1.20000000000000000000e+01,4.59000000000000019096e-01,1.42999999999999988232e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,8.00000000000000044409e-01,1.40000000000000000000e+01,4.69999999999999973355e-01,1.27000000000000001776e-01,9.42999999999999949374e-01,
0.00000000000000000000e+00,1.00000000000000000000e+00,0.00000000000000000000e+00,3.10060000000000002274e-01,3.16159999999999996589e-01,1.21013139999999984331e-02,
0.00000000000000000000e+00,1.00000000000000000000e+00,2.00000000000000000000e+00,3.62900000000000000355e-01,2.71000000000000018652e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,4.00000000000000000000e+00,3.92000000000000015099e-01,2.42299999999999987610e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,6.00000000000000000000e+00,4.15100000000000024514e-01,2.16900000000000009459e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,8.00000000000000000000e+00,4.35699999999999976197e-01,1.92099999999999992983e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,1.00000000000000000000e+01,4.52100000000000001865e-01,1.71000000000000013101e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,1.20000000000000000000e+01,4.66799999999999992717e-01,1.51400000000000006795e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,1.40000000000000000000e+01,4.78999999999999981348e-01,1.36000000000000009770e-01,1.20999999999999996447e+00,
0.00000000000000000000e+00,1.00000000000000000000e+00,1.60000000000000000000e+01,4.87999999999999989342e-01,1.23999999999999999112e-01,1.20999999999999996447e+00,
